Sex,Cases,Date,Perecent_Cases,Deaths,Percent_Deaths,Ca_Population
Male,35845,5/12/2020,50.4,1612,56.6,49.7
Unknown,445,5/12/2020,0.6,4,0.1,0
Female,35890,5/13/2020,49.1,1267,43.3,50.3
Male,36826,5/13/2020,50.3,1655,56.6,49.7
Unknown,448,5/13/2020,0.6,4,0.1,0
Female,36728,5/14/2020,49,1315,43.4,50.3
Male,37744,5/14/2020,50.4,1710,56.5,49.7
Unknown,464,5/14/2020,0.6,4,0.1,0
Female,37676,5/15/2020,49.1,1363,43.7,50.3
Male,38647,5/15/2020,50.3,1752,56.2,49.7
Unknown,470,5/15/2020,0.6,4,0.1,0
Female,38662,5/16/2020,49,1397,43.9,50.3
Male,39701,5/16/2020,50.4,1778,55.9,49.7
Unknown,476,5/16/2020,0.6,4,0.1,0
Female,39425,5/17/2020,49,1412,43.9,50.3
Male,40533,5/17/2020,50.4,1800,56,49.7
Unknown,472,5/17/2020,0.6,4,0.1,0
Female,40105,5/18/2020,49,1426,43.9,50.3
Male,41214,5/18/2020,50.4,1820,56,49.7
Unknown,476,5/18/2020,0.6,4,0.1,0
Female,41226,5/19/2020,49,1483,44,50.3
Male,42336,5/19/2020,50.4,1887,55.9,49.7
Unknown,495,5/19/2020,0.6,4,0.1,0
Female,42252,5/20/2020,49,1521,44.1,50.3
Male,43450,5/20/2020,50.4,1926,55.8,49.7
Unknown,495,5/20/2020,0.6,4,0.1,0
Female,43272,5/21/2020,48.9,1562,44.1,50.3
Male,44534,5/21/2020,50.4,1978,55.8,49.7
Unknown,638,5/21/2020,0.7,4,0.1,0
Female,44539,5/22/2020,49.1,1584,44.1,50.3
Male,45580,5/22/2020,50.3,2000,55.7,49.7
Unknown,512,5/22/2020,0.6,5,0.1,0
Female,45597,5/23/2020,49.2,1608,44.1,50.3
Male,46595,5/23/2020,50.3,2033,55.8,49.7
Unknown,518,5/23/2020,0.6,5,0.1,0
Female,46544,5/24/2020,49.2,1616,44.1,50.3
Male,47490,5/24/2020,50.2,2045,55.8,49.7
Unknown,524,5/24/2020,0.6,5,0.1,0
Female,47595,5/25/2020,49.2,1620,44,50.3
Male,48614,5/25/2020,50.3,2054,55.8,49.7
Unknown,524,5/25/2020,0.5,5,0.1,0
Female,48739,5/26/2020,49.2,1631,44,50.3
Male,49714,5/26/2020,50.2,2071,55.9,49.7
Unknown,527,5/26/2020,0.5,5,0.1,0
Female,50091,5/27/2020,49.3,1682,44.1,50.3
Male,51067,5/27/2020,50.2,2129,55.8,49.7
Unknown,539,5/27/2020,0.5,5,0.1,0
Female,51169,5/28/2020,49.3,1725,44.2,50.3
Male,52177,5/28/2020,50.2,2173,55.7,49.7
Unknown,540,5/28/2020,0.5,6,0.2,0
Female,52561,5/29/2020,49.2,1759,44.1,50.3
Male,53765,5/29/2020,50.3,2220,55.7,49.7
Unknown,552,5/29/2020,0.5,6,0.2,0
Female,54396,5/30/2020,49.2,1784,44.1,50.3
Male,55627,5/30/2020,50.3,2253,55.7,49.7
Unknown,560,5/30/2020,0.5,6,0.1,0
Female,55605,5/31/2020,49.2,1797,44,50.3
Male,56841,5/31/2020,50.3,2277,55.8,49.7
Unknown,560,5/31/2020,0.5,6,0.1,0
Female,56728,6/1/2020,49.2,1816,44,50.3
Male,58001,6/1/2020,50.3,2305,55.9,49.7
Unknown,581,6/1/2020,0.5,6,0.1,0
Female,57878,6/2/2020,49.2,1866,44.1,50.3
Male,59237,6/2/2020,50.3,2359,55.8,49.7
Unknown,572,6/2/2020,0.5,6,0.1,0
Female,58886,6/3/2020,49.2,1894,44.1,50.3
Male,60336,6/3/2020,50.4,2398,55.8,49.7
Unknown,585,6/3/2020,0.5,6,0.1,0
Female,60404,6/4/2020,49.1,1921,44,50.3
Male,61884,6/4/2020,50.4,2441,55.9,49.7
Unknown,613,6/4/2020,0.5,6,0.1,0
Female,61848,6/5/2020,49.1,1947,43.9,50.3
Male,63565,6/5/2020,50.4,2482,56,49.7
Unknown,603,6/5/2020,0.5,6,0.1,0
Female,63173,6/6/2020,49,1979,44,50.3
Male,65024,6/6/2020,50.5,2516,55.9,49.7
Unknown,615,6/6/2020,0.5,6,0.1,0
Female,64392,6/7/2020,49,1991,44,50.3
Male,66303,6/7/2020,50.5,2531,55.9,49.7
Unknown,624,6/7/2020,0.5,6,0.1,0
Female,65556,6/8/2020,49.1,2008,44,50.3
Male,67306,6/8/2020,50.4,2545,55.8,49.7
Unknown,627,6/8/2020,0.5,6,0.1,0
Female,66889,6/9/2020,49.1,2047,43.9,50.3
Male,68667,6/9/2020,50.4,2609,56,49.7
Unknown,635,6/9/2020,0.5,7,0.2,0
Female,68430,6/10/2020,49.1,2094,43.9,50.3
Male,70212,6/10/2020,50.4,2669,56,49.7
Unknown,639,6/10/2020,0.5,6,0.1,0
Female,69729,6/11/2020,49.1,2126,44,50.3
Male,71605,6/11/2020,50.4,2700,55.9,49.7
Unknown,649,6/11/2020,0.5,6,0.1,0
Female,71501,6/12/2020,49.1,2146,44,50.3
Male,73480,6/12/2020,50.5,2727,55.9,49.7
Unknown,662,6/12/2020,0.5,6,0.1,0
Female,73095,6/13/2020,49.1,2184,44,50.3
Male,75088,6/13/2020,50.4,2772,55.9,49.7
Unknown,672,6/13/2020,0.5,5,0.1,0
Female,74350,6/14/2020,49.1,2189,44,50.3
Male,76412,6/14/2020,50.5,2786,55.9,49.7
Unknown,690,6/14/2020,0.5,5,0.1,0
Female,75416,6/15/2020,49.1,2197,43.9,50.3
Female,264666,8/5/2020,49.9,4129,42.7,50.3
Male,259382,8/5/2020,48.9,5516,57.1,49.7
Unknown,5932,8/5/2020,1.1,15,0.2,0
Male,77466,6/15/2020,50.4,2800,56,49.7
Unknown,678,6/15/2020,0.4,5,0.1,0
Female,77199,6/16/2020,49.2,2226,44,50.3
Male,79128,6/16/2020,50.4,2833,55.9,49.7
Unknown,688,6/16/2020,0.4,5,0.1,0
Female,79243,6/17/2020,49.2,2260,44,50.3
Male,81212,6/17/2020,50.4,2877,56,49.7
Unknown,644,6/17/2020,0.4,5,0.1,0
Female,81326,6/18/2020,49.2,2307,43.9,50.3
Male,83438,6/18/2020,50.4,2937,55.9,49.7
Unknown,652,6/18/2020,0.4,6,0.1,0
Female,83285,6/19/2020,49.2,2328,43.8,50.3
Male,85352,6/19/2020,50.4,2984,56.1,49.7
Unknown,672,6/19/2020,0.4,6,0.1,0
Female,85516,6/20/2020,49.2,2368,43.8,50.3
Male,87602,6/20/2020,50.4,3028,56.1,49.7
Unknown,706,6/20/2020,0.4,6,0.1,0
Female,87641,6/21/2020,49.2,2372,43.7,50.3
Male,89690,6/21/2020,50.4,3047,56.2,49.7
Unknown,723,6/21/2020,0.4,6,0.1,0
Female,90119,6/22/2020,49.2,2384,43.8,50.3
Male,92199,6/22/2020,50.4,3055,56.1,49.7
Unknown,755,6/22/2020,0.4,6,0.1,0
Female,93554,6/23/2020,49.2,2397,43.6,50.3
Male,95884,6/23/2020,50.4,3095,56.3,49.7
Unknown,784,6/23/2020,0.4,7,0.1,0
Female,96068,6/24/2020,49.1,2445,43.6,50.3
Male,98718,6/24/2020,50.5,3151,56.2,49.7
Unknown,785,6/24/2020,0.4,7,0.1,0
Female,98564,6/25/2020,49.2,2500,43.7,50.3
Male,101070,6/25/2020,50.4,3210,56.1,49.7
Unknown,827,6/25/2020,0.4,7,0.1,0
Female,101509,6/26/2020,49.2,2524,43.6,50.3
Male,104025,6/26/2020,50.4,3255,56.3,49.7
Unknown,899,6/26/2020,0.4,7,0.1,0
Female,103517,6/27/2020,49.2,2531,43.6,50.3
Male,105949,6/27/2020,50.4,3272,56.3,49.7
Unknown,1777,6/27/2020,0.4,7,0.1,0
Female,106610,6/28/2020,49.2,2554,43.7,50.3
Male,108973,6/28/2020,50.3,3289,56.2,49.7
Unknown,967,6/28/2020,0.4,7,0.1,0
Female,109850,6/29/2020,49.3,2566,43.7,50.3
Male,112043,6/29/2020,50.3,3304,56.2,49.7
Unknown,1024,6/29/2020,0.5,7,0.1,0
Female,114626,6/30/2020,49.3,2607,43.6,50.3
Male,116952,6/30/2020,50.3,3363,56.3,49.7
Unknown,1079,6/30/2020,0.5,8,0.1,0
Female,118389,7/1/2020,49.3,2644,43.6,50.3
Male,120678,7/1/2020,50.2,3407,56.2,49.7
Unknown,1128,7/1/2020,0.5,8,0.1,0
Female,122484,7/2/2020,49.3,2701,43.7,50.3
Male,124555,7/2/2020,50.2,3475,56.2,49.7
Unknown,1196,7/2/2020,0.5,8,0.1,0
Female,125717,7/3/2020,49.4,2731,43.7,50.3
Male,127760,7/3/2020,50.2,3508,56.2,49.7
