Sex,Cases,Date,Perecent_Cases,Deaths,Percent_Deaths,Ca_Population
Male,386661,9/24/2020,48.7,8725,57.2,49.7
Unknown,6600,9/24/2020,0.8,31,0.2,0
Female,402911,9/25/2020,50.5,6553,42.7,50.3
Male,388687,9/25/2020,48.7,8776,57.1,49.7
Unknown,6639,9/25/2020,0.8,32,0.2,0
Female,404887,9/26/2020,50.5,6585,42.7,50.3
Male,390753,9/26/2020,48.7,8815,57.1,49.7
Unknown,6668,9/26/2020,0.8,32,0.2,0
Female,406263,9/27/2020,50.5,6595,42.7,50.3
Male,392328,9/27/2020,48.7,8824,57.1,49.7
Unknown,6672,9/27/2020,0.8,32,0.2,0
Female,407312,9/28/2020,50.4,6598,42.7,50.3
Male,393417,9/28/2020,48.7,8834,57.1,49.7
Unknown,6696,9/28/2020,0.8,30,0.2,0
Female,408908,9/29/2020,50.4,6683,42.7,50.3
Male,395012,9/29/2020,48.7,8943,57.1,49.7
Unknown,6705,9/29/2020,0.8,31,0.2,0
Female,410433,9/30/2020,50.4,6729,42.7,50.3
Male,396552,9/30/2020,48.7,8997,57.1,49.7
Unknown,6702,9/30/2020,0.8,31,0.2,0
Female,412239,10/1/2020,50.4,6787,42.6,50.3
Male,398313,10/1/2020,48.7,9100,57.2,49.7
Unknown,6725,10/1/2020,0.8,31,0.2,0
Female,413300,10/2/2020,50.4,6795,42.7,50.3
Male,399431,10/2/2020,48.7,9106,57.2,49.7
Unknown,6705,10/2/2020,0.8,31,0.2,0
Female,415440,10/3/2020,50.4,6821,42.6,50.3
Male,401556,10/3/2020,48.7,9147,57.2,49.7
Unknown,6733,10/3/2020,0.8,31,0.2,0
Female,416956,10/4/2020,50.4,6829,42.6,50.3
Male,403070,10/4/2020,48.8,9160,57.2,49.7
Unknown,6758,10/4/2020,0.8,31,0.2,0
Female,417819,10/5/2020,50.4,6839,42.6,50.3
Male,403885,10/5/2020,48.8,9176,57.2,49.7
Unknown,6757,10/5/2020,0.8,31,0.2,0
Female,419257,10/6/2020,50.4,6883,42.7,50.3
Male,405212,10/6/2020,48.7,9220,57.2,49.7
Unknown,6756,10/6/2020,0.8,28,0.2,0
Female,421112,10/7/2020,50.4,6922,42.7,50.3
Male,406928,10/7/2020,48.7,9275,57.2,49.7
Unknown,6760,10/7/2020,0.8,28,0.2,0
Female,423126,10/8/2020,50.5,6958,42.7,50.3
Male,408687,10/8/2020,48.7,9311,57.1,49.7
Unknown,6793,10/8/2020,0.8,29,0.2,0
Female,425304,10/9/2020,50.5,6990,42.7,50.3
Male,410644,10/9/2020,48.7,9362,57.2,49.7
Unknown,6828,10/9/2020,0.8,28,0.2,0
Female,427180,10/10/2020,50.5,7026,42.7,50.3
Male,412555,10/10/2020,48.7,9406,57.1,49.7
Unknown,6844,10/10/2020,0.8,28,0.2,0
Female,428996,10/11/2020,50.5,7026,42.7,50.3
Male,414166,10/11/2020,48.7,9416,57.2,49.7
Unknown,6866,10/11/2020,0.8,28,0.2,0
Female,430237,10/12/2020,50.5,7032,42.7,50.3
Male,415294,10/12/2020,48.7,9420,57.2,49.7
Unknown,6875,10/12/2020,0.8,28,0.2,0
Female,431587,10/13/2020,50.5,7055,42.7,50.3
Male,416579,10/13/2020,48.7,9439,57.1,49.7
Unknown,6906,10/13/2020,0.8,28,0.2,0
Female,433299,10/14/2020,50.5,7105,42.7,50.3
Male,418205,10/14/2020,48.7,9488,57.1,49.7
Unknown,6897,10/14/2020,0.8,28,0.2,0
Female,434912,10/15/2020,50.5,7138,42.7,50.3
Male,419655,10/15/2020,48.7,9545,57.1,49.7
Unknown,6909,10/15/2020,0.8,29,0.2,0
Female,436495,10/16/2020,50.5,7184,42.8,50.3
Male,421047,10/16/2020,48.7,9576,57,49.7
Unknown,6913,10/16/2020,0.8,30,0.2,0
Female,437997,10/17/2020,50.5,7225,42.8,50.3
Male,422413,10/17/2020,48.7,9628,57,49.7
Unknown,6907,10/17/2020,0.8,30,0.2,0
Female,439844,10/18/2020,50.5,7230,42.8,50.3
Male,424039,10/18/2020,48.7,9634,57,49.7
Unknown,6908,10/18/2020,0.8,30,0.2,0
Female,441502,10/19/2020,50.5,7238,42.8,50.3
Male,425648,10/19/2020,48.7,9640,57,49.7
Unknown,6927,10/19/2020,0.8,30,0.2,0
Female,443416,10/20/2020,50.5,7273,42.8,50.3
Male,427427,10/20/2020,48.7,9684,57,49.7
Unknown,6941,10/20/2020,0.8,30,0.2,0
Female,444925,10/21/2020,50.5,7327,42.8,50.3
Male,428858,10/21/2020,48.7,9767,57,49.7
Unknown,6941,10/21/2020,0.8,29,0.2,0
Female,448100,10/22/2020,50.5,7358,42.8,50.3
Male,431774,10/22/2020,48.7,9798,57,49.7
Unknown,6991,10/22/2020,0.8,29,0.2,0
Female,451184,10/23/2020,50.5,7373,42.8,50.3
Male,434601,10/23/2020,48.7,9829,57,49.7
Unknown,7025,10/23/2020,0.8,29,0.2,0
Female,453853,10/24/2020,50.5,7393,42.8,50.3
Male,437115,10/24/2020,48.7,9864,57.1,49.7
Unknown,7061,10/24/2020,0.8,29,0.2,0
Female,455339,10/25/2020,50.5,7400,42.8,50.3
Male,438587,10/25/2020,48.7,9869,57.1,49.7
Unknown,7084,10/25/2020,0.8,29,0.2,0
Female,456990,10/26/2020,50.5,7409,42.8,50.3
Male,440111,10/26/2020,48.7,9875,57,49.7
Unknown,7097,10/26/2020,0.8,29,0.2,0
Female,459278,10/27/2020,50.5,7440,42.7,50.3
Male,442321,10/27/2020,48.7,9960,57.1,49.7
Unknown,7114,10/27/2020,0.8,29,0.2,0
Female,461383,10/28/2020,50.5,7475,42.7,50.3
Male,444378,10/28/2020,48.7,9996,57.1,49.7
Unknown,7143,10/28/2020,0.8,31,0.2,0
Female,463411,10/29/2020,50.5,7487,42.7,50.3
Male,446320,10/29/2020,48.7,10028,57.1,49.7
Unknown,7187,10/29/2020,0.8,32,0.2,0
Female,466008,10/30/2020,50.5,7506,42.6,50.3
Male,448772,10/30/2020,48.7,10067,57.2,49.7
Unknown,7225,10/30/2020,0.8,32,0.2,0
Female,468321,10/31/2020,50.5,7533,42.7,50.3
Male,450953,10/31/2020,48.7,10098,57.2,49.7
Unknown,7260,10/31/2020,0.8,31,0.2,0
Female,470424,11/1/2020,50.5,7541,42.6,50.3
Male,452908,11/1/2020,48.7,10111,57.2,49.7
Unknown,7296,11/1/2020,0.8,31,0.2,0
Female,472513,11/2/2020,50.6,7543,42.6,50.3
Male,454850,11/2/2020,48.7,10118,57.2,49.7
Unknown,7309,11/2/2020,0.8,31,0.2,0
Female,475256,11/3/2020,50.6,7574,42.6,50.3
Male,457423,11/3/2020,48.7,10166,57.2,49.7
Unknown,7331,11/3/2020,0.8,31,0.2,0
Female,477502,11/4/2020,50.6,7610,42.7,50.3
Male,459667,11/4/2020,48.7,10192,57.2,49.7
Unknown,7407,11/4/2020,0.8,31,0.2,0
Female,480900,11/5/2020,50.6,7642,42.7,50.3
Male,462738,11/5/2020,48.7,10225,57.1,49.7
Unknown,7456,11/5/2020,0.8,31,0.2,0
Female,483919,11/6/2020,50.6,7662,42.7,50.3
Male,465544,11/6/2020,48.6,10251,57.1,49.7
Unknown,7494,11/6/2020,0.8,31,0.2,0
Female,487884,11/7/2020,50.6,7689,42.7,50.3
Male,469207,11/7/2020,48.6,10297,57.2,49.7
Unknown,7548,11/7/2020,0.8,31,0.2,0
Female,491542,11/8/2020,50.6,7690,42.7,50.3
Male,472695,11/8/2020,48.6,10298,57.2,49.7
Unknown,7614,11/8/2020,0.8,31,0.2,0
Female,494286,11/9/2020,50.6,7695,42.7,50.3
Male,475297,11/9/2020,48.6,10301,57.1,49.7
Unknown,7635,11/9/2020,0.8,31,0.2,0
Female,497954,11/10/2020,50.6,7722,42.7,50.3
Male,479043,11/10/2020,48.6,10341,57.2,49.7
Unknown,7685,11/10/2020,0.8,31,0.2,0
Female,501490,11/11/2020,50.6,7740,42.7,50.3
Male,482394,11/11/2020,48.6,10366,57.2,49.7
Unknown,7725,11/11/2020,0.8,31,0.2,0
Female,505051,11/12/2020,50.6,7753,42.7,50.3
Male,485678,11/12/2020,48.6,10379,57.1,49.7
Unknown,7773,11/12/2020,0.8,31,0.2,0
Female,510169,11/13/2020,50.6,7780,42.7,50.3
Male,490387,11/13/2020,48.6,10426,57.2,49.7
Unknown,7821,11/13/2020,0.8,31,0.2,0
Female,515924,11/14/2020,50.6,7804,42.6,50.3
Male,495550,11/14/2020,48.6,10466,57.2,49.7
Unknown,7871,11/14/2020,0.8,32,0.2,0
Female,520859,11/15/2020,50.6,7817,42.7,50.3
Male,500408,11/15/2020,48.6,10475,57.2,49.7
Unknown,7968,11/15/2020,0.8,31,0.2,0
Female,525328,11/16/2020,50.6,7825,42.7,50.3
Male,504618,11/16/2020,48.6,10487,57.2,49.7
Unknown,8032,11/16/2020,0.8,31,0.2,0
Female,530421,11/17/2020,50.6,7848,42.7,50.3
Male,509304,11/17/2020,48.6,10516,57.2,49.7
Unknown,8064,11/17/2020,0.8,31,0.2,0
Female,536393,11/18/2020,50.6,7897,42.7,50.3
Male,514692,11/18/2020,48.6,10574,57.2,49.7
Unknown,8182,11/18/2020,0.8,31,0.2,0
Female,543000,11/19/2020,50.6,7925,42.6,50.3
Male,520928,11/19/2020,48.6,10637,57.2,49.7
Unknown,8344,11/19/2020,0.8,31,0.2,0
Female,550885,11/20/2020,50.6,7966,42.6,50.3
Male,528371,11/20/2020,48.6,10684,57.2,49.7
Unknown,8458,11/20/2020,0.8,31,0.2,0
Female,558242,11/21/2020,50.7,7996,42.6,50.3
Male,535242,11/21/2020,48.6,10727,57.2,49.7
Unknown,8549,11/21/2020,0.8,31,0.2,0
Female,562480,11/22/2020,50.7,8005,42.6,50.3
Male,539261,11/22/2020,48.6,10759,57.2,49.7
Unknown,8629,11/22/2020,0.8,32,0.2,0
Female,570248,11/23/2020,50.7,8013,42.6,50.3
Male,546676,11/23/2020,48.6,10772,57.2,49.7
Unknown,8775,11/23/2020,0.8,32,0.2,0
Female,579540,11/24/2020,50.7,8062,42.6,50.3
Male,555627,11/24/2020,48.6,10836,57.2,49.7
Unknown,8882,11/24/2020,0.8,32,0.2,0
Female,586945,11/25/2020,50.7,8109,42.6,50.3
Male,562702,11/25/2020,48.6,10890,57.2,49.7
Unknown,9042,11/25/2020,0.8,32,0.2,0
Female,593595,11/26/2020,50.7,8134,42.6,50.3
Male,568573,11/26/2020,48.5,10942,57.3,49.7
Unknown,9156,11/26/2020,0.8,33,0.2,0
Female,599687,11/27/2020,50.7,8153,42.6,50.3
Male,574323,11/27/2020,48.5,10969,57.3,49.7
Unknown,9310,11/27/2020,0.8,32,0.2,0
Female,607559,11/28/2020,50.7,8169,42.6,50.3
Male,581955,11/28/2020,48.5,10989,57.3,49.7
Unknown,9420,11/28/2020,0.8,31,0.2,0
Female,614770,11/29/2020,50.7,8185,42.6,50.3
Male,588688,11/29/2020,48.5,11004,57.3,49.7
Unknown,9510,11/29/2020,0.8,31,0.2,0
Female,620979,11/30/2020,50.7,8200,42.6,50.3
Male,594629,11/30/2020,48.5,11018,57.2,49.7
Unknown,9581,11/30/2020,0.8,31,0.2,0
Female,631636,12/1/2020,50.7,8253,42.6,50.3
Male,604591,12/1/2020,48.5,11084,57.2,49.7
Unknown,9721,12/1/2020,0.8,31,0.2,0
Female,641220,12/2/2020,50.7,8300,42.6,50.3
Male,613458,12/2/2020,48.5,11150,57.2,49.7
Unknown,9861,12/2/2020,0.8,31,0.2,0
Female,652467,12/3/2020,50.7,8387,42.6,50.3
Male,623621,12/3/2020,48.5,11260,57.2,49.7
Unknown,10469,12/3/2020,0.8,35,0.2,0
Female,665309,12/4/2020,50.7,8438,42.6,50.3
Male,635029,12/4/2020,48.4,11322,57.2,49.7
Unknown,11287,12/4/2020,0.9,48,0.2,0
Female,680749,12/5/2020,50.7,8481,42.6,50.3
Male,648919,12/5/2020,48.4,11398,57.2,49.7
Unknown,12032,12/5/2020,0.9,51,0.3,0
Female,692213,12/6/2020,50.7,8497,42.4,50.3
Male,659664,12/6/2020,48.3,11411,57,49.7
Unknown,14558,12/6/2020,1.1,120,0.6,0
Female,704086,12/7/2020,50.7,8512,42.4,50.3
Male,670664,12/7/2020,48.3,11453,57,49.7
Unknown,14957,12/7/2020,1.1,122,0.6,0
Female,720067,12/8/2020,50.7,8594,42.4,50.3
Male,685250,12/8/2020,48.2,11540,57,49.7
Unknown,15241,12/8/2020,1.1,121,0.6,0
Female,734995,12/9/2020,50.7,8677,42.4,50.3
Male,699325,12/9/2020,48.2,11654,57,49.7
Unknown,15915,12/9/2020,1.1,127,0.6,0
Female,752554,12/10/2020,50.7,8752,42.4,50.3
Male,716500,12/10/2020,48.2,11759,57,49.7
Unknown,16649,12/10/2020,1.1,132,0.6,0
Female,770245,12/11/2020,50.6,8817,42.4,50.3
Male,733826,12/11/2020,48.2,11860,57,49.7
Unknown,17361,12/11/2020,1.1,135,0.6,0
Female,785571,12/12/2020,50.6,8883,42.3,50.3
Male,748541,12/12/2020,48.2,11976,57,49.7
Unknown,17654,12/12/2020,1.1,136,0.6,0
Female,801788,12/13/2020,50.6,8924,42.3,50.3
Male,764445,12/13/2020,48.2,12023,57,49.7
Unknown,18811,12/13/2020,1.2,141,0.7,0
Female,817969,12/14/2020,50.6,8964,42.3,50.3
Male,779969,12/14/2020,48.2,12071,57,49.7
Unknown,19432,12/14/2020,1.2,143,0.7,0
Female,845211,12/15/2020,50.6,9053,42.3,50.3
Male,806004,12/15/2020,48.2,12215,57.1,49.7
Unknown,19866,12/15/2020,1.2,142,0.7,0
Female,871834,12/16/2020,50.6,9224,42.3,50.3
Male,831105,12/16/2020,48.2,12450,57.1,49.7
Unknown,20423,12/16/2020,1.2,143,0.7,0
Female,892599,12/17/2020,50.6,9358,42.4,50.3
Male,850327,12/17/2020,48.2,12581,57,49.7
Unknown,21448,12/17/2020,1.2,141,0.6,0
Female,914674,12/18/2020,50.6,9479,42.4,50.3
Male,871318,12/18/2020,48.2,12726,56.9,49.7
Unknown,21990,12/18/2020,1.2,141,0.6,0
Female,938123,12/19/2020,50.6,9586,42.5,50.3
Male,893568,12/19/2020,48.2,12843,56.9,49.7
Unknown,22765,12/19/2020,1.2,142,0.6,0
Female,957231,12/20/2020,50.6,9653,42.5,50.3
Male,911353,12/20/2020,48.2,12920,56.9,49.7
Unknown,23764,12/20/2020,1.3,142,0.6,0
Female,973832,12/21/2020,50.6,9698,42.5,50.3
Male,927136,12/21/2020,48.2,12985,56.9,49.7
Unknown,24039,12/21/2020,1.2,143,0.6,0
Female,993649,12/22/2020,50.6,9809,42.5,50.3
Male,945758,12/22/2020,48.2,13145,56.9,49.7
Unknown,24669,12/22/2020,1.3,143,0.6,0
Female,993649,12/23/2020,50.6,9809,42.5,50.3
Male,945758,12/23/2020,48.2,13145,56.9,49.7
Unknown,24669,12/23/2020,1.3,143,0.6,0
Female,1032256,12/24/2020,50.5,10097,42.6,50.3
Male,981655,12/24/2020,48.1,13482,56.8,49.7
Unknown,28379,12/24/2020,1.4,145,0.6,0
Female,1047549,12/25/2020,50.5,10164,42.5,50.3
Male,996208,12/25/2020,48.1,13592,56.9,49.7
Unknown,28908,12/25/2020,1.4,146,0.6,0
Female,1072965,12/26/2020,50.5,10254,42.5,50.3
Male,1019441,12/26/2020,48,13720,56.9,49.7
Unknown,30400,12/26/2020,1.4,147,0.6,0
Female,1089254,12/27/2020,50.5,10273,42.5,50.3
Male,1035476,12/27/2020,48,13773,56.9,49.7
Unknown,31246,12/27/2020,1.4,149,0.6,0
Female,1105129,12/28/2020,50.5,10325,42.5,50.3
Male,1050241,12/28/2020,48,13837,56.9,49.7
Unknown,31851,12/28/2020,1.5,149,0.6,0
Female,1121071,12/29/2020,50.5,10513,42.5,50.3
Male,1064781,12/29/2020,48,14075,56.9,49.7
Unknown,32290,12/29/2020,1.5,150,0.6,0
Female,1121071,12/30/2020,50.5,10513,42.5,50.3
Male,1064781,12/30/2020,48,14075,56.9,49.7
Unknown,32290,12/30/2020,1.5,150,0.6,0
Female,1159463,12/31/2020,50.6,10960,42.5,50.3
Male,1099312,12/31/2020,48,14684,56.9,49.7
Unknown,33793,12/31/2020,1.5,158,0.6,0
Female,1186867,1/1/2021,50.6,11129,42.4,50.3
Male,1123490,1/1/2021,47.9,14945,57,49.7
Unknown,35552,1/1/2021,1.5,162,0.6,0
Female,1210473,1/2/2021,50.6,11232,42.4,50.3
Male,1144460,1/2/2021,47.9,15092,57,49.7
Unknown,36328,1/2/2021,1.5,170,0.6,0
Female,1225955,1/3/2021,50.6,11258,42.4,50.3
Male,1158092,1/3/2021,47.8,15134,57,49.7
Unknown,36847,1/3/2021,1.5,169,0.6,0
Female,1242402,1/4/2021,50.7,11365,42.4,50.3
Male,1172610,1/4/2021,47.8,15269,57,49.7
Unknown,37322,1/4/2021,1.5,173,0.6,0
Female,1257880,1/5/2021,50.7,11538,42.4,50.3
Male,1186641,1/5/2021,47.8,15508,57,49.7
Unknown,37705,1/5/2021,1.5,176,0.6,0
Female,1276663,1/6/2021,50.7,11778,42.4,50.3
Male,1203388,1/6/2021,47.8,15856,57,49.7
Unknown,38560,1/6/2021,1.5,177,0.6,0
Female,1303646,1/7/2021,50.8,12045,42.5,50.3
Male,1228087,1/7/2021,47.8,16234,57.2,49.7
Unknown,36908,1/7/2021,1.4,87,0.3,0
Female,1330617,1/8/2021,50.8,12304,42.4,50.3
Male,1252120,1/8/2021,47.8,16597,57.2,49.7
Unknown,38540,1/8/2021,1.5,95,0.3,0
Female,1355858,1/9/2021,50.8,12515,42.4,50.3
Male,1275068,1/9/2021,47.7,16881,57.2,49.7
Unknown,40036,1/9/2021,1.5,100,0.3,0
Female,1376112,1/10/2021,50.8,12696,42.4,50.3
Male,1293614,1/10/2021,47.7,17113,57.2,49.7
Unknown,41075,1/10/2021,1.5,102,0.3,0
Female,1395192,1/11/2021,50.8,12773,42.4,50.3
Male,1310582,1/11/2021,47.7,17229,57.2,49.7
Unknown,41514,1/11/2021,1.5,103,0.3,0
Female,1412663,1/12/2021,50.8,13005,42.4,50.3
Male,1326329,1/12/2021,47.7,17575,57.3,49.7
Unknown,42047,1/12/2021,1.5,105,0.3,0
Female,1430937,1/13/2021,50.8,13206,42.3,50.3
Male,1342772,1/13/2021,47.7,17906,57.4,49.7
Unknown,43260,1/13/2021,1.5,110,0.4,0
Female,1452415,1/14/2021,50.8,13370,42.2,50.3
Male,1362689,1/14/2021,47.7,18164,57.4,49.7
Unknown,44520,1/14/2021,1.6,113,0.4,0
Female,1472785,1/15/2021,50.8,13626,42.3,50.3
Male,1381856,1/15/2021,47.6,18502,57.4,49.7
Unknown,45605,1/15/2021,1.6,122,0.4,0
Female,1494299,1/16/2021,50.8,13843,42.2,50.3
Male,1401611,1/16/2021,47.6,18838,57.4,49.7
Unknown,46565,1/16/2021,1.6,132,0.4,0
Female,1509908,1/17/2021,50.8,13962,42.1,50.3
Male,1416011,1/17/2021,47.6,19041,57.5,49.7
Unknown,47255,1/17/2021,1.6,136,0.4,0
Female,1522042,1/18/2021,50.8,14043,42.1,50.3
Male,1427479,1/18/2021,47.6,19181,57.5,49.7
Unknown,47447,1/18/2021,1.6,140,0.4,0
Female,1533625,1/19/2021,50.8,14183,42.1,50.3
Male,1438031,1/19/2021,47.6,19363,57.5,49.7
Unknown,47715,1/19/2021,1.6,144,0.4,0
Female,1543711,1/20/2021,50.8,14457,42.1,50.3
Male,1447072,1/20/2021,47.6,19740,57.5,49.7
Unknown,48261,1/20/2021,1.6,148,0.4,0
Female,1555674,1/21/2021,50.8,14736,42.1,50.3
Male,1458031,1/21/2021,47.6,20139,57.5,49.7
Unknown,48363,1/21/2021,1.6,154,0.4,0
Female,1567416,1/22/2021,50.8,14935,42,50.3
Male,1468874,1/22/2021,47.6,20452,57.5,49.7
Unknown,48750,1/22/2021,1.6,157,0.4,0
Female,1579552,1/23/2021,50.8,15193,42,50.3
Male,1480659,1/23/2021,47.6,20857,57.6,49.7
Unknown,48940,1/23/2021,1.6,158,0.4,0
Female,1593139,1/24/2021,50.8,15286,41.9,50.3
Male,1493610,1/24/2021,47.6,21002,57.6,49.7
Unknown,49409,1/24/2021,1.6,160,0.4,0
Female,1601818,1/25/2021,50.8,15370,41.9,50.3
Male,1501958,1/25/2021,47.6,21129,57.6,49.7
Unknown,49410,1/25/2021,1.6,161,0.4,0
Female,1610402,1/26/2021,50.8,15656,41.9,50.3
Male,1510132,1/26/2021,47.6,21506,57.6,49.7
Unknown,49380,1/26/2021,1.6,164,0.4,0
Female,1618782,1/27/2021,50.8,15955,41.9,50.3
Male,1518121,1/27/2021,47.6,21947,57.6,49.7
Unknown,49707,1/27/2021,1.6,168,0.4,0
Female,1628412,1/28/2021,50.8,16215,41.9,50.3
Male,1527644,1/28/2021,47.7,22279,57.6,49.7
Unknown,49891,1/28/2021,1.6,173,0.4,0
Female,1637851,1/29/2021,50.8,16477,41.9,50.3
Male,1536611,1/29/2021,47.7,22669,57.6,49.7
Unknown,49912,1/29/2021,1.5,177,0.5,0
Female,1647516,1/30/2021,50.8,16733,41.9,50.3
Male,1545854,1/30/2021,47.7,23002,57.6,49.7
Unknown,49978,1/30/2021,1.5,178,0.4,0
Female,1655273,1/31/2021,50.8,16878,41.9,50.3
Male,1553217,1/31/2021,47.7,23202,57.6,49.7
Unknown,50216,1/31/2021,1.5,183,0.5,0
Female,1661448,2/1/2021,50.8,16957,41.9,50.3
Male,1559144,2/1/2021,47.7,23316,57.6,49.7
Unknown,50178,2/1/2021,1.5,184,0.5,0
Female,1666909,2/2/2021,50.8,17158,41.8,50.3
Male,1564212,2/2/2021,47.7,23671,57.7,49.7
Unknown,50150,2/2/2021,1.5,189,0.5,0
Female,1673610,2/3/2021,50.8,17407,41.8,50.3
Male,1570616,2/3/2021,47.7,24036,57.7,49.7
Unknown,50221,2/3/2021,1.5,191,0.5,0
Female,1680602,2/4/2021,50.8,17712,41.8,50.3
Male,1577423,2/4/2021,47.7,24501,57.8,49.7
Unknown,50443,2/4/2021,1.5,200,0.5,0
Female,1686938,2/5/2021,50.8,17961,41.8,50.3
Male,1583368,2/5/2021,47.7,24850,57.8,49.7
Unknown,50556,2/5/2021,1.5,207,0.5,0
Female,1694648,2/6/2021,50.8,18124,41.7,50.3
Male,1590682,2/6/2021,47.7,25117,57.8,49.7
Unknown,50596,2/6/2021,1.5,215,0.5,0
Female,1699904,2/7/2021,50.8,18233,41.7,50.3
Male,1595640,2/7/2021,47.7,25289,57.8,49.7
Unknown,50796,2/7/2021,1.5,213,0.5,0
Female,1704207,2/8/2021,50.8,18296,41.7,50.3
Male,1599569,2/8/2021,47.7,25395,57.8,49.7
Unknown,50815,2/8/2021,1.5,214,0.5,0
Female,1708439,2/9/2021,50.8,18493,41.6,50.3
Male,1603715,2/9/2021,47.7,25717,57.9,49.7
Unknown,50827,2/9/2021,1.5,215,0.5,0
Female,1712835,2/10/2021,50.8,18710,41.6,50.3
Male,1607931,2/10/2021,47.7,26063,57.9,49.7
Unknown,50790,2/10/2021,1.5,217,0.5,0
Female,1717877,2/11/2021,50.8,18920,41.6,50.3
Male,1612786,2/11/2021,47.7,26374,57.9,49.7
Unknown,50952,2/11/2021,1.5,226,0.5,0
Female,1722603,2/12/2021,50.8,19103,41.5,50.3
Male,1617383,2/12/2021,47.7,26653,58,49.7
Unknown,51050,2/12/2021,1.5,230,0.5,0
Female,1727045,2/13/2021,50.8,19298,41.5,50.3
Male,1621806,2/13/2021,47.7,26931,58,49.7
Unknown,51027,2/13/2021,1.5,228,0.5,0
Female,1730360,2/14/2021,50.8,19394,41.5,50.3
Male,1624937,2/14/2021,47.7,27097,58,49.7
Unknown,51068,2/14/2021,1.5,228,0.5,0
Female,1733301,2/15/2021,50.8,19427,41.5,50.3
Male,1627698,2/15/2021,47.7,27139,58,49.7
Unknown,51058,2/15/2021,1.5,229,0.5,0
Female,1735351,2/16/2021,50.8,19549,41.5,50.3
Male,1629733,2/16/2021,47.7,27308,58,49.7
Unknown,51063,2/16/2021,1.5,229,0.5,0
Female,1738179,2/17/2021,50.8,19713,41.5,50.3
Male,1632464,2/17/2021,47.7,27593,58,49.7
Unknown,51077,2/17/2021,1.5,231,0.5,0
Female,1741520,2/18/2021,50.8,19866,41.4,50.3
Male,1635830,2/18/2021,47.7,27871,58.1,49.7
Unknown,51168,2/18/2021,1.5,236,0.5,0
Female,1744886,2/19/2021,50.8,20049,41.4,50.3
Male,1639066,2/19/2021,47.7,28126,58.1,49.7
Unknown,51234,2/19/2021,1.5,239,0.5,0
Female,1748322,2/20/2021,50.8,20205,41.4,50.3
Male,1642318,2/20/2021,47.7,28359,58.1,49.7
Unknown,51306,2/20/2021,1.5,243,0.5,0
Female,1750671,2/21/2021,50.8,20294,41.4,50.3
Male,1644578,2/21/2021,47.7,28502,58.1,49.7
Unknown,51362,2/21/2021,1.5,243,0.5,0
Female,1752452,2/22/2021,50.8,20327,41.4,50.3
Male,1646261,2/22/2021,47.7,28559,58.1,49.7
Unknown,51345,2/22/2021,1.5,243,0.5,0
Female,1755203,2/23/2021,50.8,20480,41.4,50.3
Male,1648874,2/23/2021,47.7,28748,58.1,49.7
Unknown,51284,2/23/2021,1.5,242,0.5,0
Female,1757746,2/24/2021,50.8,20985,41.4,50.3
Male,1651296,2/24/2021,47.7,29420,58.1,49.7
Unknown,51284,2/24/2021,1.5,243,0.5,0
=======,,,,,,
sex,totalpositive2,date,case_percent,deaths,deaths_percent,ca_percent
Female,5015,4/2/2020,,,,
Male,5547,4/2/2020,,,,
Unknown,139,4/2/2020,,,,
Female,5674,4/3/2020,,,,
Male,6202,4/3/2020,,,,
Unknown,150,4/3/2020,,,,
Female,6349,4/4/2020,,,,
Male,6876,4/4/2020,,,,
Unknown,213,4/4/2020,,,,
Female,6740,4/5/2020,,,,
Male,7296,4/5/2020,,,,
Unknown,300,4/5/2020,,,,
Female,7600,4/6/2020,,,,
Male,7957,4/6/2020,,,,
Unknown,308,4/6/2020,,,,
Female,8108,4/7/2020,,,,
Male,8488,4/7/2020,,,,
Unknown,361,4/7/2020,,,,
Female,8776,4/8/2020,,,,
Male,9130,4/8/2020,,,,
Transgender,2,4/8/2020,,,,
Unknown,401,4/8/2020,,,,
Female,9387,4/9/2020,,,,
Male,9745,4/9/2020,,,,
Unknown,400,4/9/2020,,,,
Female,9981,4/10/2020,,,,
Male,10330,4/10/2020,,,,
Unknown,304,4/10/2020,,,,
Female,9981,4/10/2020,,,,
Male,10330,4/10/2020,,,,
Unknown,304,4/10/2020,,,,
Female,10571,4/11/2020,,,,
Male,10926,4/11/2020,,,,
Unknown,297,4/11/2020,,,,
Female,10877,4/12/2020,,,,
Male,11256,4/12/2020,,,,
Unknown,215,4/12/2020,,,,
Female,11352,4/13/2020,,,,
Male,11772,4/13/2020,,,,
Unknown,214,4/13/2020,,,,
Female,11934,4/14/2020,,,,
Male,12265,4/14/2020,,,,
Unknown,225,4/14/2020,,,,
Female,12771,4/15/2020,,,,
Male,13169,4/15/2020,,,,
Unknown,242,4/15/2020,,,,
Female,13424,4/16/2020,,,,
Male,13865,4/16/2020,,,,
Unknown,239,4/16/2020,,,,
Female,14185,4/17/2020,,,,
Male,14535,4/17/2020,,,,
Unknown,243,4/17/2020,,,,
Female,14902,4/18/2020,,,,
Male,15185,4/18/2020,,,,
Unknown,246,4/18/2020,,,,
Female,15224,4/19/2020,,,,
Male,15507,4/19/2020,,,,
Unknown,247,4/19/2020,,,,
Female,16363,4/20/2020,,,,
Male,16641,4/20/2020,,,,
Unknown,257,4/20/2020,,,,
Female,17411,4/21/2020,,,,
Male,17718,4/21/2020,,,,
Unknown,267,4/21/2020,,,,
